CLSS ID,CRN,Term,Term Code,Department Code,Subject Code,Catalog Number,Course,Section,Course Title,Long Title,Schedule Type,Title,Meeting Pattern,Meetings,Instructor,Building and Room,Status,Part of Term,Session,Campus,Instructional Method,Visible,Special Approval,Credit Hrs Min,Credit Hours,Grade Mode,URL,Attributes,Course Attributes,Enrollment,Maximum Enrollment,Prior Enrollment,Waitlist Maximum,Wait Total,Cross-listings,Cross-list Enrollment,Cross-list Maximum,Cross-list Wait Total,Comments (details for ASO and/or justifications for Dean/FM approvals),Section Text (visible in student views)#1,Section Text (visible in student views)#2,Final Exam,"Restrictions
Student Attribute 
Include/Exclude","Restrictions
Student Attribute","Restrictions
Classification 
Include/Exclude","Restrictions
Classification","Restrictions
Degree 
Include/Exclude","Restrictions
Degree","Restrictions
Department 
Include/Exclude","Restrictions
Department","Restrictions
Level 
Include/Exclude","Restrictions
Level","Restrictions
Field of Study - All 
Include/Exclude","Restrictions
Field of Study - All","Restrictions
Field of Study - Concentration 
Include/Exclude","Restrictions
Field of Study - Concentration","Restrictions
Field of Study - Major 
Include/Exclude","Restrictions
Field of Study - Major","Restrictions
Field of Study - Minor 
Include/Exclude","Restrictions
Field of Study - Minor","Restrictions
Program 
Include/Exclude","Restrictions
Program"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7119,37557,2024 Spring,202420,DGM,DAGV,130L,DAGV 130L,201 (37557),Animation Essentials Lab,,Face to Face Lab (X),,MWF 10am-10:50am,MWF 10am-10:50am [Face to Face Lab (Class)],"Le Prey, Chancelor (10891271) [Primary, 100%]",CS 502,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Laboratory (LAB),Yes,(None Assigned),1,1,Standard Letter,,,,0,28,0,25,0,,,,,,,,N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
7120,37558,2024 Spring,202420,DGM,DAGV,130L,DAGV 130L,202 (37558),Animation Essentials Lab,,Face to Face Lab (X),,MWF 12pm-12:50pm,MWF 12pm-12:50pm [Face to Face Lab (Class)],"Le Prey, Chancelor (10891271) [Primary, 100%]",CS 502,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Laboratory (LAB),Yes,(None Assigned),1,1,Standard Letter,,,,0,28,0,25,0,,,,,,,,N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
7121,37559,2024 Spring,202420,DGM,DAGV,130L,DAGV 130L,203 (37559),Animation Essentials Lab,,Face to Face Lab (X),,TR 11:30am-12:45pm,TR 11:30am-12:45pm [Face to Face Lab (Class)],"Coppieters, Michael (10089060) [Primary, 100%]",CS 502,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Laboratory (LAB),Yes,(None Assigned),1,1,Standard Letter,,,,0,28,0,25,0,,,,,,,,N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,30941,2024 Spring,202420,DGM,DAGV,1400,DAGV 1400,002 (30941),Scripting Essentials,,Livestream (LS),,TR 4:30pm-5:45pm,TR 4:30pm-5:45pm [Livestream (Class)],"Powell, Preston (10018858) [Primary, 100%]",LIVE STREAM,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,Lab access fee of $45 applies,Lab access fee of $45 applies,0,28,14,28,0,,,,,,,"Lecture is held live on specific days and times, but may include an online component. Students participate from home using their own computer or device, and interact with the instructor and classmates on camera.",(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
6792,37133,2024 Spring,202420,DGM,DAGV,1400,DAGV 1400,003 (37133),Scripting Essentials,,Face to Face (F),,Does Not Meet,Does Not Meet [Face to Face (Class)],"Staff [Primary, 100%]",Choose an Option,Cancelled,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),No,(None Assigned),3,3,Standard Letter,,Lab access fee of $45 applies,Lab access fee of $45 applies,0,0,19,0,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
7634,38064,2024 Spring,202420,DGM,DAGV,1400,DAGV 1400,151 (38064),Scripting Essentials,,Face to Face (F),,MWF 9am-9:50am,MWF 9am-9:50am [Face to Face (Class)],"Staff [Primary, 100%]",TG 114,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,,Lab access fee of $45 applies,Lab access fee of $45 applies,0,26,0,25,0,Also DAGV 1400-V19 (38066),0,51,,Please schedule in TG 114 if available.  Elizabeth Warner will schedule the receive site (V) section on the Orem campus. Thanks,,"This section is held at Thanksgiving Point, 2912 Executive Parkway, Lehi
",N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
6905,37256,2024 Spring,202420,DGM,DAGV,1400,DAGV 1400,J99 (37256),Scripting Essentials,,Face to Face (F),,Does Not Meet,Does Not Meet [Face to Face (Class)],"Powell, Preston (10018858) [Primary, 100%]",HSADV TBA,Active,HS Semester (HSS) - HSS (1/2/24 to 6/7/24),Not Applicable,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/concurrent,,Lab access fee of $45 applies,0,100,4,0,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,Include (I),High School Concurrent Enroll (HSCE) 
7632,38066,2024 Spring,202420,DGM,DAGV,1400,DAGV 1400,V19 (38066),Scripting Essentials,,Live Interactive (V),,MWF 9am-9:50am,MWF 9am-9:50am [Face to Face (Class)],"Staff [Primary, 100%]",BA 204,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,,Lab access fee of $45 applies,Lab access fee of $45 applies,0,25,0,25,0,See DAGV 1400-151 (38064),0,51,,Bldg/Room:  BA 204; Xlist w/ DAGV 1400 151 (new),,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
3590,30939,2024 Spring,202420,DGM,DAGV,1400,DAGV 1400,X01 (30939),Scripting Essentials,,Online (W),,Does Not Meet,Does Not Meet [Online (Class)],"Staff [Primary, 100%]",Choose an Option,Cancelled,Full Term (1) - 1 (1/8/24 to 5/1/24),Not Applicable,M,Regular Class without Lab (LEC),No,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,Lab access fee of $45 applies,Lab access fee of $45 applies,0,0,21,0,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7118,37556,2024 Spring,202420,DGM,DAGV,1500,DAGV 1500,001 (37556),Concept Essentials,,Face to Face and Online (FFO),,W 10:30am-11:20am,W 10:30am-11:20am [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Esmay, Larry (10012421) [Primary, 100%]",CS 518; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,HY - Hybrid Delivery,,0,28,0,25,0,,,,,cohort,,"Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.",Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7159,37561,2024 Spring,202420,DGM,DAGV,1600,DAGV 1600,001 (37561),Studio Technology Essentials,,Face to Face (F),,MW 9am-10:15am,MW 9am-10:15am [Face to Face (Class)],"Staff [Primary, 100%]",CS 518,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,,,,0,28,0,25,0,,,,,animation cohort,,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6796,37137,2024 Spring,202420,DGM,DAGV,2210,DAGV 2210,601 (37137),3D Modeling and Animation,,Face to Face and Online (FFO),,M 5pm-6:15pm,M 5pm-6:15pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Wild, Lucas (10585341) [Primary, 100%]",CS 518; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Evening,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,Course fee of $19 applies; Software fee of $15 applies; Lab access fee of $45 applies,Course fee of $19 applies; Software fee of $15 applies; Lab access fee of $45 applies,0,28,11,25,0,,,,,,,"Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.",(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,23665,2024 Spring,202420,DGM,DAGV,2240,DAGV 2240,320 (23665),Character Development,,Face to Face and Online (FFO),,T 11:30am-12:45pm,T 11:30am-12:45pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Lantz, Clayton (10500967) [Primary, 100%]",TG 114; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,HY - Hybrid Delivery; Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,26,23,25,0,,,,,Please schedule in room TG 114 if possible.  Thanks,,"This section is held at  Thanksgiving Point, 2912 Executive Parkway, Lehi
Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.",N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5477,35097,2024 Spring,202420,DGM,DAGV,2330,DAGV 2330,001 (35097),Introduction to Rigging,,Face to Face and Livestream (FLS),,T 1pm-1:50pm,T 1pm-1:50pm [Face to Face and Livestream (Class)]; Does Not Meet [Face to Face and Livestream (Class)],"Esmay, Larry (10012421) [Primary, 100%]",CS 518; LIVE STREAM,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),2,2,Standard Letter,https://www.uvu.edu/otl/students/index.html,HY - Hybrid Delivery; Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,28,21,25,0,,,,,cohort,,"Lecture is held live on specific days and times, part face-to-face in a classroom, and part via livestream.  For the livestream portion, students will participate using their own computer or device, and interact with the instructor and classmates on camera.",Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
2584,27933,2024 Spring,202420,DGM,DAGV,2330,DAGV 2330,002 (27933),Introduction to Rigging,,Face to Face and Online (FFO),,R 10am-10:50am,R 10am-10:50am [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Lantz, Clayton (10500967) [Primary, 100%]",CS 402; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),2,2,Standard Letter,https://www.uvu.edu/otl/students/index.html,HY - Hybrid Delivery; Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,26,22,25,0,,,,,Please schedule in TG 114 or TG 115 if possible.  Or any TG available classroom. Thanks!,,"Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.		",N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7163,37562,2024 Spring,202420,DGM,DAGV,233L,DAGV 233L,201 (37562),Intro Rigging Lab,,Face to Face Lab (X),,TR 2pm-3:15pm,TR 2pm-3:15pm [Face to Face Lab (Class)],"Staff [Primary, 100%]",CS 518,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Laboratory (LAB),Yes,(None Assigned),1,1,Standard Letter,,,,0,28,0,25,0,,,,,animation cohort,,,N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
7180,37958,2024 Spring,202420,DGM,DAGV,233L,DAGV 233L,320 (37958),Intro Rigging Lab,,Face to Face Lab (X),,F 1pm-3:30pm,F 1pm-3:30pm [Face to Face Lab (Class)],"Lantz, Clayton (10500967) [Primary, 50%]; Romrell, Anthony (10536064) [50%]",TG 110,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Laboratory (LAB),Yes,(None Assigned),1,1,Standard Letter,https://www.uvu.edu/maps/,,,0,26,0,25,0,,,,,Jan Bentley gave permission to use TG 110 on Fridays for this class.  I forwarded the email from Jan in IS & T.  Thanks!,,"This section is held at Thanksgiving Point, 2912 Executive Parkway, Lehi
",N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6583,36867,2024 Spring,202420,DGM,DAGV,2340,DAGV 2340,001 (36867),Digital Storyboarding,,Face to Face (F),,TR 8:30am-9:45am,TR 8:30am-9:45am [Face to Face (Class)],"Coppieters, Michael (10089060) [Primary, 100%]",CS 518,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,,Course fee of $12 applies; Software fee of $15 applies; Lab access fee of $45 applies,Course fee of $12 applies; Software fee of $15 applies; Lab access fee of $45 applies,0,28,18,25,0,,,,,animation cohort,,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
2587,27936,2024 Spring,202420,DGM,DAGV,2340,DAGV 2340,320 (27936),Digital Storyboarding,,Face to Face and Online (FFO),,Does Not Meet,Does Not Meet [Face to Face and Online (Class)],"Staff [Primary, 100%]",Choose an Option,Cancelled,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),No,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/maps/,Course fee of $12 applies; Software fee of $15 applies; Lab access fee of $45 applies,Course fee of $12 applies; Software fee of $15 applies; Lab access fee of $45 applies,0,0,22,0,0,,,,,,,"This course section will be held at Thanksgiving Point (2912 Executive Parkway, Lehi).

Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class. https://www.uvu.edu/otl/students/index.html",(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6593,36878,2024 Spring,202420,DGM,DAGV,2440,DAGV 2440,001 (36878),Scripting for Animation I,,Face to Face (F),,Does Not Meet,Does Not Meet [Face to Face (Class)],"Staff [Primary, 100%]",Choose an Option,Cancelled,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),No,(None Assigned),3,3,Standard Letter,,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,0,14,0,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6882,37229,2024 Spring,202420,DGM,DAGV,2460,DAGV 2460,002 (37229),Game Development I,,Face to Face (F),,TR 4pm-5:15pm,TR 4pm-5:15pm [Face to Face (Class)],"Della Cioppa, Vennie (10869781) [Primary, 100%]",CS 509,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,7,6,7,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2586,27935,2024 Spring,202420,DGM,DAGV,2470,DAGV 2470,320 (27935),Game Development II,,Face to Face and Online (FFO),,R 11:30am-12:45pm,R 11:30am-12:45pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Romrell, Anthony (10536064) [Primary, 100%]",TG 115; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,HY - Hybrid Delivery; Lab access fee of $45 applies,Lab access fee of $45 applies,0,26,22,25,0,,,,,"Please schedule in TG 115, 115 or 117 if possible. Thanks",,"This section is held at Thanksgiving Point, 2912 Executive Parkway, Lehi
Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.",N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7164,37563,2024 Spring,202420,DGM,DAGV,2480,DAGV 2480,001 (37563),Introduction to Compositing,,Face to Face (F),,TR 10am-11:15am,TR 10am-11:15am [Face to Face (Class)],"Staff [Primary, 100%]",CS 518,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,,,,0,28,0,25,0,,,,,animation cohort,,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
7544,38068,2024 Spring,202420,DGM,DAGV,2480,DAGV 2480,320 (38068),Introduction to Compositing,,Face to Face and Online (FFO),,T 10am-11:15am,T 10am-11:15am [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Romrell, Anthony (10536064) [Primary, 100%]",TG 115; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/maps/,HY - Hybrid Delivery,,0,26,0,25,0,,,,,Please schedule in TG 115 if possible.  Thanks,,"This section is held at Thanksgiving Point, 2912 Executive Parkway, Lehi
",Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7135,37560,2024 Spring,202420,DGM,DAGV,301R,DAGV 301R,001 (37560),Digital Lecture Series,,Livestream (LS),,W 1pm-1:50pm,W 1pm-1:50pm [Livestream (Class)],"Lantz, Clayton (10500967) [Primary, 100%]",LIVE STREAM,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),1,1,Standard Letter,https://www.uvu.edu/otl/students/index.html,,,0,30,0,25,0,,,,,cohort,,"Lecture is held live on specific days and times, but may include an online component.  Students participate using their own computer or device, and interact with the instructor and classmates on camera.",N--Classroom/Lab is NOT needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
